T,g,feh,cfe
4000.0,5.0074,-1.5,1.07
4052.6315789473683,4.999563157894737,-1.5,1.07
4105.263157894737,4.991726315789474,-1.5,1.07
4157.894736842105,4.9838894736842105,-1.5,1.07
4210.526315789473,4.9760526315789475,-1.5,1.07
4263.157894736842,4.9682157894736845,-1.5,1.07
4315.789473684211,4.9603789473684206,-1.5,1.07
4368.421052631579,4.9525421052631575,-1.5,1.07
4421.0526315789475,4.9447052631578945,-1.5,1.07
4473.684210526316,4.9368684210526315,-1.5,1.07
4526.315789473684,4.929031578947368,-1.5,1.07
4578.9473684210525,4.921194736842105,-1.5,1.07
4631.578947368421,4.913357894736842,-1.5,1.07
4684.210526315789,4.9055210526315784,-1.5,1.07
4736.8421052631575,4.897684210526315,-1.5,1.07
4789.473684210527,4.889847368421052,-1.5,1.07
4842.105263157895,4.882010526315789,-1.5,1.07
4894.736842105263,4.874173684210526,-1.5,1.07
4947.368421052632,4.866336842105263,-1.5,1.07
5000.0,4.84,-1.5,1.07
